id,class_id,language,style,category,format,summary,subject,body
20,2,en,NULL,NULL,TEXT,"Trademark - confirmation of application","Confirmation of trademark application {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }} in {{ $matter->countryInfo->name }}","Hello,

According to your instructions, we have filed the following trademark :

- Trademark : {{ $matter->titles->first()->value }} 
- Number : {{ $matter->filing->detail }}
- Country : {{ $matter->countryInfo->name }}
- Classes : {{ $matter->classifiers->where('type_code', 'TMCL')->pluck('value')->join('.') }}
- Application date : {{ $matter->filing->event_date->isoFormat('LL') }}
- Owner : {{ $matter->actors->where('role_code', 'CLI')->pluck('name')->join(', ') }}

You will find enclosed the filing documents.

This trademark will be published within 3 to 4 weeks, of which we will inform you. 

In the meantime, the owner will probably receive one or more documents from companies claiming to be official in the field of intellectual property, and requesting a sum of money for publication of the trademark in their registers. This is a common scam that should never be followed up. The full cost of registering this trademark until its renewal in 10 years' time has already been paid.

On the other hand, other equally unscrupulous individuals or companies monitor trademark publications in order to reserve the corresponding domain names (mainly .com), with the aim of reselling them at a premium to the rightful owner. If you haven't already done so, we advise you to reserve the domain names corresponding to this trademark today, in the most relevant extensions (generally .com, .fr and possibly .eu).

We remain at your disposal should you have any questions, and will keep you informed of the progress of the registration procedure."
21,4,en,NULL,NULL,TEXT,"Trademark - registration (pays qui calculent le renou à partir de la date de dépôt)","Registration of trademark {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }} in {{ $matter->countryInfo->name }}","Hello,

We are pleased to inform you that the following trademark has been registered :

- Trademark : {{ $matter->titles->first()->value }}
- Number : {{ $matter->filing->detail }}
- Country : {{ $matter->countryInfo->name }}
- Registration date : {{ $matter->grant->event_date->isoFormat('LL') }}

Please find enclosed the registration certificate.

This trademark shall be renewed before {{ $matter->renewalsPending[0]->due_date->isoFormat('LL') }}. We will send you a reminder in due time.

Kind regards,"
22,3,en,NULL,NULL,TEXT,"Trademark - publication","Publication of the trademark {{ $matter->titles->first()->value }}  No.{{ $matter->filing->detail }}","Hello,

The following trademark was published :

- Trademark : {{ $matter->titles->first()->value }} 
- Number : {{ $matter->filing->detail }}
- Country : {{ $matter->countryInfo->name }}
- Date of publication : {{ $matter->publication->event_date->isoFormat('LL') }}

Third parties can file an opposition before {{ $matter->tasks->where('code', 'WAT')->first()->due_date->isoFormat('LL') }}. When the opposition deadline expires, and if no opposition is filed, the Office will register the trademark. We will send you the registration certificate upon receipt.

<b>Warning</b> : You may receive letters from companies presenting themselves as official entities in the field of intellectual property, requesting payment for the publication of your trademark in their registers. This is a scam, and you should, of course, not respond to it. If you have any doubts, please do not hesitate to contact us.

<b>If your are an Amazon Seller</b> : You can now add your trademark to the <i>Amazon Brand Registry</i>. You will need to provide the name (or logo), select the trademark office where it was registered, and enter your trademark registration number. Amazon will then proceed with a verification process and may send us a confirmation code. We will forward this code to you upon receipt, allowing you to complete the process. Should you need any assistance with this registration, we are here to help.

Kind regards,"
23,5,en,NULL,NULL,HTML,"Trademark - priority deadline - first call","End of priority period for the trademark {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }}","Bonjour,

Here is some information about the priority period for the trademark in question, which expires on {{ $matter->tasks->where('code', 'PRID')->first()->due_date->isoFormat('LL') }}.

<b>What is the priority period?</b>

It is a 6-month period that starts on the day of the first filing of your trademark. During this period, you can extend your trademark abroad by benefiting from the date of your first filing.

<i>For example, if you decided to file a trademark in the United States, it would be considered to exist from the date of your first filing, namely {{ $matter->filing->event_date->isoFormat('LL') }}.</i>

<b>What is the purpose of the priority period?</b>

It allows you sufficient time for reflection, without the filings made by third parties during these 6 months being enforceable against you, in the countries where you finally decide to protect your trademark.

<i>For example, your trademark was filed on {{ $matter->filing->event_date->isoFormat('LL') }}. If an American filed a trademark very similar to yours 5 months later, and you subsequently file a trademark in the United States within the priority period, the American trademark would not be enforceable against you.</i>

<b>When and why should you file your trademark abroad?</b>

This step is only relevant if you have plans to develop your business outside France (or outside the EU if you have filed a European trademark) in the short to medium term (less than 5 years). Filing quickly prevents third parties from registering a trademark identical or similar to yours abroad, and subsequently preventing you from establishing yourself there.

<b>How much does it cost?</b>

The price varies greatly depending on the countries where you want to protect your trademark. We will work with you to find the most effective solution in terms of protection and costs.


So do not hesitate to contact us if you want to protect your trademark in other countries !

See you soon,"
24,5,en,NULL,NULL,TEXT,"Trademark - priority deadline - last call","[Last call] Expiration of the priority period for the trademark {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }}","Bonjour,

We remind you that the priority period to extend the trademark {{ $matter->titles->first()->value }} abroad expires on {{ $matter->tasks->where('code', 'PRID')->first()->due_date->isoFormat('LL') }}.

We are at your disposal to advise you and provide a quote if you wish.

Kind regards,"
25,9,fr,NULL,NULL,TEXT,"Dessin et Modèle international - octroi de protection","Octroi de protection pour le modèle international No.{{ $matter->filing->detail }}","Bonjour,

Nous avons le plaisir de vous informer que le modèle international No.{{ $matter->filing->detail }} a bien été enregistré dans le pays suivant : [nom du pays].


Nous vous joignons la déclaration d'octroi de protection correspondante.


Bien cordialement,"
26,6,fr,NULL,NULL,HTML,"Marque - 1er rappel de renouvellement (FRANCE)","Rappel de renouvellement pour la marque {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }} en France","Bonjour,

Nous vous informons que la marque suivante arrive à échéance le {{ $matter->renewalsPending[0]->due_date->isoFormat('LL') }} :

- Marque : {{ $matter->titles->first()->value }}
- Numéro : {{ $matter->filing->detail }}
- Pays : {{ $matter->countryInfo->name }}
- Classes : {{ $matter->classifiers->where('type_code', 'TMCL')->pluck('value')->join('.') }}
- Titulaire : {{ $matter->actors->where('role_code', 'CLI')->pluck('name')->join(', ') }}
- Adresse du titulaire : {{ $matter->actors->where('role_code', 'CLI')->first()->actor->address }}

Si vous exploitez toujours cette marque, il conviendrait de la renouveler. 

Le coût d’un renouvellement pour 10 ans sera de 150 € HT d’honoraires + taxes INPI (290 € pour la 1ère classe + 40 € par classe supplémentaire).  

Nous vous remercions de nous indiquer :
 <ul>
  <li>si vous souhaitez renouveler cette marque</li>
  <li>si vous souhaitez la renouveler pour l’ensemble des classes de dépôt </li>
  <li>si les informations concernant le titulaire sont bien à jour</li>
</ul> 
Merci de nous faire parvenir vos instructions au plus tard 2 mois avant la date d’expiration. 

<b>Si vous n’exploitez plus votre marque, envisagez-vous de la vendre ?</b> N’hésitez pas à nous en informer : nous pourrons vous conseiller sur ce point.

Bien cordialement,"
27,6,fr,NULL,NULL,HTML,"Marque - 1er rappel de renouvellement (UE)","Rappel de renouvellement pour la marque {{ $matter->titles->first()->value }} No. {{ $matter->filing->detail }} en Union Européenne","Bonjour,

Nous vous informons que la marque suivante arrive à échéance le {{ $matter->renewalsPending[0]->due_date->isoFormat('LL') }} :

- Marque : {{ $matter->titles->first()->value }}
- Numéro : {{ $matter->filing->detail }}
- Pays : {{ $matter->countryInfo->name }}
- Classes : {{ $matter->classifiers->where('type_code', 'TMCL')->pluck('value')->join('.') }}
- Titulaire : {{ $matter->actors->where('role_code', 'CLI')->pluck('name')->join(', ') }}
- Adresse du titulaire : {{ $matter->actors->where('role_code', 'CLI')->first()->actor->address }}

Si vous exploitez toujours cette marque, il conviendrait de la renouveler. 

Le coût d’un renouvellement pour 10 ans sera de 200 € HT d’honoraires + taxes EUIPO (850 € pour la 1ère classe + 50 € pour la 2ème + 150 € par classe supplémentaire).  

Nous vous remercions de nous indiquer :
 <ul>
  <li>si vous souhaitez renouveler cette marque</li>
  <li>si vous souhaitez la renouveler pour l’ensemble des classes de dépôt </li>
  <li>si les informations concernant le titulaire sont bien à jour</li>
</ul> 

Merci de nous faire parvenir vos instructions au plus tard 2 mois avant la date d’expiration. 

<b>Si vous n’exploitez plus votre marque, envisagez-vous de la vendre ?</b> N’hésitez pas à nous en informer : nous pourrons vous conseiller sur ce point.

Bien cordialement,"
28,6,fr,NULL,NULL,HTML,"Marque - 1er rappel de renouvellement (UK)","Rappel de renouvellement pour la marque {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }} au Royaume-Uni","Bonjour,

Nous vous informons que la marque suivante arrive à échéance le {{ $matter->renewalsPending[0]->due_date->isoFormat('LL') }} :

- Marque : {{ $matter->titles->first()->value }}
- Numéro : {{ $matter->filing->detail }}
- Pays : {{ $matter->countryInfo->name }}
- Classes : {{ $matter->classifiers->where('type_code', 'TMCL')->pluck('value')->join('.') }}
- Titulaire : {{ $matter->actors->where('role_code', 'CLI')->pluck('name')->join(', ') }}
- Adresse du titulaire : {{ $matter->actors->where('role_code', 'CLI')->first()->actor->address }}

Si vous exploitez toujours cette marque, il conviendrait de la renouveler. 

Le coût d’un renouvellement pour 10 ans sera de 180 € HT d’honoraires + taxes UKIPO (250 € pour la 1ère classe + 60 € par classe supplémentaire).  

Nous vous remercions de nous indiquer :
 <ul>
  <li>si vous souhaitez renouveler cette marque</li>
  <li>si vous souhaitez la renouveler pour l’ensemble des classes de dépôt </li>
  <li>si les informations concernant le titulaire sont bien à jour</li>
</ul> 
Merci de nous faire parvenir vos instructions au plus tard 2 mois avant la date d’expiration. 

<b>Si vous n’exploitez plus votre marque, envisagez-vous de la vendre ?</b> N’hésitez pas à nous en informer : nous pourrons vous conseiller sur ce point.

Bien cordialement,"
29,6,fr,NULL,NULL,HTML,"Marque - 1er rappel de renouvellement (marque inter)","Rappel de renouvellement pour votre marque internationale {{ $matter->titles->first()->value }} No.{{ $matter->filing->detail }}","Bonjour,

Nous vous informons que la marque internationale suivante arrive à échéance le {{ $matter->renewalsPending[0]->due_date->isoFormat('LL') }} :

- Marque : {{ $matter->titles->first()->value }}
- Numéro : {{ $matter->filing->detail }}
- Pays : <mark>[à remplir manuellement]</mark>
- Classes : {{ $matter->classifiers->where('type_code', 'TMCL')->pluck('value')->join('.') }}
- Titulaire : {{ $matter->actors->where('role_code', 'CLI')->pluck('name')->join(', ') }}
- Adresse du titulaire : {{ $matter->actors->where('role_code', 'CLI')->first()->actor->address }}

Si vous exploitez toujours cette marque, il conviendrait de la renouveler. 

Nous vous remercions de nous indiquer :
 <ul>
  <li>si vous souhaitez renouveler cette marque</li>
  <li>si vous souhaitez la renouveler pour l’ensemble des classes de dépôt et/ou l’ensemble des pays (il est possible de supprimer des classes ou des pays)</li>
  <li>si les informations concernant le titulaire sont bien à jour</li>
</ul> 

Merci de nous faire parvenir vos instructions au plus tard 2 mois avant la date d’expiration. Nous vous enverrons un devis au préalable.

<b>Si vous n’exploitez plus votre marque, envisagez-vous de la vendre ?</b> N’hésitez pas à nous en informer : nous pourrons vous conseiller sur ce point.

Bien cordialement,"
